Lieu de prêt,Emplacement,"Nb prêt
02/01/17","Nb prêt
03/01/17","Nb prêt
04/01/17","Nb prêt
05/01/17","Nb prêt
06/01/17","Nb prêt
07/01/17","Nb prêt
09/01/17","Nb prêt
10/01/17","Nb prêt
11/01/17","Nb prêt
12/01/17","Nb prêt
13/01/17","Nb prêt
14/01/17","Nb prêt
16/01/17","Nb prêt
17/01/17","Nb prêt
18/01/17","Nb prêt
19/01/17","Nb prêt
20/01/17","Nb prêt
21/01/17","Nb prêt
23/01/17","Nb prêt
24/01/17","Nb prêt
25/01/17","Nb prêt
26/01/17","Nb prêt
27/01/17","Nb prêt
28/01/17","Nb prêt
30/01/17","Nb prêt
31/01/17"
                         ,JEUX SYMBOLIQUES,0,7,10,7,2,18,0,12,17,5,6,18,0,2,7,7,2,25,0,15,25,3,0,22,0,11
                         ,LANGUES,0,0,5,1,6,17,0,1,1,0,2,11,0,4,4,0,0,10,0,6,18,5,5,12,0,3
                         ,LITTERATURE,0,1,1,2,0,4,0,1,4,0,0,3,0,0,2,0,1,7,0,1,1,0,3,4,0,1
                         ,LOISIRS CREATIFS,0,5,14,2,9,22,0,9,8,1,3,19,0,3,13,1,10,8,0,8,11,3,3,35,0,6
                         ,MUSIQUE ADULTES,0,61,68,54,65,182,0,49,98,5,42,173,0,82,38,38,64,153,0,51,77,36,28,198,0,19
                         ,MUSIQUE,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,3,5,0,0,0,0,0,3,0,0
                         ,MUSIQUE JEUNESSE,0,5,15,4,1,22,0,14,12,8,1,23,0,5,18,5,1,20,0,0,19,2,3,17,0,5
                         ,PHILOSOPHIE,0,5,8,1,1,9,0,2,9,2,2,4,0,2,3,3,7,5,0,1,8,1,1,14,0,0
                         ,PRESSE,0,7,4,1,7,22,0,3,2,3,1,15,0,3,12,3,2,15,0,2,6,3,9,29,0,9
                         ,FONDS PRO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE,0,5,8,3,1,33,0,10,11,0,5,8,0,3,13,2,5,8,0,4,12,8,3,29,0,5
                         ,RELIGIONS,0,0,0,0,2,3,0,0,1,0,0,4,0,0,5,1,1,1,0,1,0,0,0,7,0,0
                         ,ROMANS ADULTES,0,101,87,60,93,184,0,88,99,33,70,172,0,91,70,38,123,126,0,80,105,58,61,134,0,95
                         ,ROMANS JEUNESSE,0,28,94,15,25,115,0,15,50,18,14,129,0,11,50,17,23,59,0,16,68,19,25,104,0,16
                         ,SCIENCES,0,9,15,9,36,49,0,7,31,4,9,49,0,7,36,4,13,43,0,16,35,6,11,51,0,7
                         ,SOCIETE,0,8,14,12,16,31,0,8,30,14,7,16,0,8,5,9,13,21,0,7,5,0,11,31,0,6
                         ,SPORTS ET LOISIRS,0,4,4,0,3,6,0,1,1,0,1,10,0,9,5,0,3,12,0,3,1,1,3,6,0,1
                         ,VIE PRATIQUE,0,23,18,13,8,45,0,13,26,28,12,48,0,32,27,5,25,59,0,14,41,10,22,48,1,26
                         ,THEATRE,0,20,32,9,11,27,0,37,17,16,7,11,0,9,8,2,5,32,0,2,16,0,9,19,0,11
                         ,xx,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bellevue,TOTAL,315,241,705,5,173,0,213,279,626,9,185,0,162,213,642,6,210,0,206,322,491,1,268,0,238,210
                         ,ALBUMS,49,63,126,3,36,0,62,75,119,0,54,0,42,51,77,1,54,0,49,101,82,0,81,0,77,63
                         ,ARTS,5,0,11,0,6,0,1,2,1,0,0,0,0,1,3,1,2,0,0,1,3,0,6,0,1,2
                         ,GRAPHISME,3,0,2,0,0,0,1,0,2,0,0,0,1,0,3,2,4,0,0,1,0,0,0,0,1,1
                         ,BD ADULTES,13,7,22,0,3,0,4,10,15,1,20,0,3,4,28,0,25,0,2,7,23,0,10,0,1,7
                         ,BD JEUNESSE,87,41,188,0,11,0,41,66,179,1,25,0,29,47,215,0,25,0,40,61,134,0,29,0,36,46
                         ,CINEMA ADULTES,7,14,30,1,17,0,9,24,22,0,12,0,1,7,42,0,8,0,16,17,15,0,12,0,13,9
                         ,CINEMA JEUNESSE,7,9,49,0,9,0,12,6,60,1,9,0,10,7,32,0,2,0,13,11,29,0,11,0,10,7
                         ,CINEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
                         ,DANSE,2,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
                         ,GEOGRAPHIE,4,3,3,0,2,0,1,7,1,0,0,0,0,1,13,0,7,0,1,1,3,0,0,0,2,3
