Lieu de prêt,Emplacement,"Nb prêt
01/03/17","Nb prêt
02/03/17","Nb prêt
03/03/17","Nb prêt
04/03/17","Nb prêt
06/03/17","Nb prêt
07/03/17","Nb prêt
08/03/17","Nb prêt
09/03/17","Nb prêt
10/03/17","Nb prêt
11/03/17","Nb prêt
13/03/17","Nb prêt
14/03/17","Nb prêt
15/03/17","Nb prêt
16/03/17","Nb prêt
17/03/17","Nb prêt
18/03/17","Nb prêt
20/03/17","Nb prêt
21/03/17","Nb prêt
22/03/17","Nb prêt
23/03/17","Nb prêt
24/03/17","Nb prêt
25/03/17","Nb prêt
27/03/17","Nb prêt
28/03/17","Nb prêt
29/03/17","Nb prêt
30/03/17","Nb prêt
31/03/17"
                         ,SPORTS ET LOISIRS,8,2,3,3,0,3,6,0,2,11,0,0,4,1,1,3,0,4,4,2,1,9,0,0,3,2,2
                         ,VIE PRATIQUE,67,9,28,46,0,36,56,16,7,63,0,15,34,20,21,53,0,9,40,14,16,57,0,26,24,15,17
                         ,THEATRE,18,2,3,21,0,17,17,25,40,5,0,22,20,2,27,12,0,21,8,7,12,20,0,13,32,0,17
                         ,xx,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1
Bellevue,TOTAL,607,37,202,0,250,185,815,22,304,0,307,338,505,2,222,0,335,387,675,0,315,0,184,236,609,26,174
                         ,ALBUMS,64,29,26,0,40,41,124,8,54,0,60,126,65,0,44,0,129,102,149,0,46,0,35,52,97,16,19
                         ,ARTS,5,0,1,0,0,1,7,1,1,0,2,3,7,0,1,0,0,4,4,0,2,0,0,2,2,0,5
                         ,GRAPHISME,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0
                         ,BD ADULTES,23,0,7,0,13,7,35,0,28,0,7,5,28,0,20,0,19,21,15,0,27,0,4,5,26,0,5
                         ,BD JEUNESSE,192,1,36,0,65,42,239,0,71,0,68,62,178,0,41,0,40,91,220,0,57,0,25,71,199,2,34
                         ,CINEMA ADULTES,34,0,18,0,3,16,29,0,22,0,10,1,16,2,24,0,13,22,23,0,12,0,14,2,24,0,15
                         ,CINEMA JEUNESSE,34,0,10,0,16,13,48,1,7,0,14,7,20,0,6,0,18,12,14,0,15,0,14,14,26,1,15
                         ,CINEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
                         ,DANSE,7,0,0,0,0,1,0,4,0,0,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,2
                         ,GEOGRAPHIE,10,0,4,0,2,5,8,0,5,0,13,3,5,0,2,0,7,4,2,0,2,0,3,3,2,0,2
